Name,Author,User_Rating,Reviews,Price,Year,Genre,Num_Pages,,,,,
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,4.8,4628,7,2009,Fiction,381,,,,0,0
The Lost Symbol,Dan Brown,4.2,8747,19,2009,Fiction,509,,,,7,0
The Love Dare,Stephen Kendrick,4.8,1655,13,2009,Non Fiction,224,,,,19,13
The Shack: Where Tragedy Confronts Eternity,William P. Young,4.6,19720,8,2009,Fiction,294,,,,0,0
The Time Traveler's Wife,Audrey Niffenegger,4.4,3759,6,2009,Fiction,500,,,,8,0
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,4.4,3503,9,2009,Non Fiction,301,,,,6,9
The Twilight Saga Collection,Stephenie Meyer,4.7,3801,82,2009,Fiction,550,,,,0,0
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,4.3,3319,11,2009,Non Fiction,349,,,,82,11
True Compass: A Memoir,Edward M. Kennedy,4.5,438,15,2009,Non Fiction,532,,,,0,15
"Twilight (The Twilight Saga, Book 1)",Stephenie Meyer,4.7,11676,9,2009,Fiction,498,,,,0,0
Under the Dome: A Novel,Stephen King,4.3,6740,20,2009,Fiction,1074,,,,9,0
Watchmen,Alan Moore,4.8,3829,42,2009,Fiction,416,,,,20,0
Where the Wild Things Are,Maurice Sendak,4.8,9967,13,2009,Fiction,38,,,,42,0
A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,4.6,460,2,2010,Non Fiction,960,,,,361,2
"Autobiography of Mark Twain, Vol. 1",Mark Twain,4.2,491,14,2010,Non Fiction,440,,,,,396
"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,4.7,615,21,2010,Non Fiction,256,,,,,
"Broke: The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,4.5,471,8,2010,Non Fiction,406,,,,,
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,11,2010,Fiction,391,,,,,
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14,2010,Non Fiction,187,,,,,
Cutting for Stone,Abraham Verghese,4.6,4866,11,2010,Fiction,541,,,,,
"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,4.3,1924,8,2010,Fiction,320,,,,,
Decision Points,George W. Bush,4.6,2137,17,2010,Non Fiction,497,,,,,
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,4.6,1651,15,2010,Non Fiction,246,,,,,
Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,4.5,2525,16,2010,Non Fiction,242,,,,,
Food Rules: An Eater's Manual,Michael Pollan,4.4,1555,9,2010,Non Fiction,152,,,,,
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,4.4,1215,9,2010,Non Fiction,448,,,,,
